pno	uno	ano	tno	weight	price	tar	vat	hap	whether
516	5	6	3	14	253718690	25371869	27909056	53354225	1
517	10	4	6	14	39472810	3947281	4342009	8362590	1
518	8	1	6	64	564930710				0
519	7	1	6	53	895317260				0
520	7	6	3	11	627845390	81624604	70947099	152645003	1
521	12	4	5	16	312947180	40684135	35363132	76120567	0
522	7	1	4	28	198456920	25893600	22435052	48429952	1
523	8	2	5	36	872594130	61081797	93367593	154570590	1
524	2	5	4	57	75684920	7568492	8325341	16015033	1
525	3	6	3	16	132489670	26497934	15898760	42469994	1
526	20	1	1	34	629573180	44219122	67379230	111719552	1
527	12	1	4	60	745839100	97025083	84286418	181432701	0
528	5	2	6	42	396817240	39681724	43649896	83452820	1
529	11	3	2	48	985372460	68974071	105434653	174529924	1
530	9	4	6	8	526793810	36875567	56366938	93269005	1
531	19	2	6	53	274830690				0
532	13	6	6	45	81245930				0
533	1	3	5	70	712548390				0
534	12	1	6	69	319572640	41539617	36111226	77772043	1
535	18	2	7	67	547839200	54783920	60262312	115167432	1
536	2	1	7	25	845397120	109804437	95520156	205425893	1
537	14	3	7	48	162739480	16273948	17901343	34296491	1
538	14	1	4	38	65319820	6531982	7185180	13838362	1
539	1	2	6	6	392648570	51146210	44379478	95552188	1
540	14	5	6	61	798264150	103778989	90204314	194104503	1
541	5	3	3	45	879436210	114327509	99376372	213825081	1
542	17	3	6	43	238469310	47693862	28616317	76431379	1
543	11	3	5	12	43670810	5683401	4935421	10692122	1
544	10	6	7	64	697381540	48416695	74579824	123117719	1
545	11	5	3	20	241895370	31447960	27334333	58855593	1
546	18	3	6	66	85479610				0
547	4	3	6	48	961738240	192347648	115408589	307877437	1
548	3	5	7	36	471925830	33035908	50496174	83653282	1
549	14	5	5	47	314587690	62917538	37750523	100789261	1
550	15	5	5	11	687912530	68791253	75670378	144534931	1
551	3	4	6	8	529487360	37064515	56655188	93746203	1
552	3	1	7	70	846721930	59270534	90699246	150090980	1
553	1	6	5	36	289354670	28935467	31829014	60885681	1
554	20	3	3	39	48137690	9627538	5776523	15525261	1
555	15	1	4	7	795613820	55694267	85130809	140851576	1
556	19	1	7	70	156924370	31384874	18830924	50336998	1
557	18	3	4	18	72468530	5073796	7754233	12901329	1
558	5	4	6	18	478629180				0
559	3	5	7	22	537914820	69928725	60784355	130814380	1
560	1	3	6	57	361789240	47024051	40881329	88026580	1
561	19	4	7	34	984215360	127875780	111209114	239206094	1
562	1	5	6	62	651982470	45638772	69762124	115522096	1
563	5	6	2	49	235816390	16507144	25232353	41860697	1
564	18	1	5	15	893257490	89325749	98258324	187657373	1
565	14	2	5	68	174589210	34917842	20950705	55989747	1
566	16	4	4	33	319864520	41580997	36144552	77846749	0
567	7	1	6	65	562793180	39495522	60228870	99845592	1
568	18	6	7	43	698245130	48876157	74712129	123709486	1
569	11	5	2	49	821934570	106851594	92878616	199851410	1
570	3	5	2	31	469813270	93962654	56377592	150461446	1
571	16	5	4	17	329175480				0
572	2	6	7	19	94287630	6599133	10088676	16761109	1
573	13	2	4	33	578924310	75459015	65438333	141018548	1
574	16	5	7	48	739216540	96079151	83529569	179729920	1
575	13	3	5	63	216387940	43277588	25966553	69365341	1
576	13	5	5	37	837925160	109030770	94695593	203847563	1
577	7	2	7	8	915284370	118887366	103417174	222331040	1
578	14	5	2	32	681925830	47735908	72966174	120823282	1
579	2	4	5	22	258913470	25891347	28480482	54473129	1
580	15	2	4	50	479231580	95846316	57507790	153475306	1
581	7	1	5	22	326894170				0
582	18	6	7	12	897153420	62500742	95965416	158539458	1
583	16	5	3	53	512849370	51284937	56413431	107819568	1
584	17	4	6	28	789216540	78921654	86813819	165836773	1
585	17	3	2	55	634578920	44121524	67870044	112112768	1
586	7	6	7	59	297841530	59568306	35740984	95430490	1
587	20	5	5	51	64589320	12917864	7750718	20789782	1
588	7	5	3	42	851739260	110824078	96256334	207201612	1
589	20	5	6	32	379684150	75936830	45562098	121620128	1
590	11	1	6	49	726391840	50847429	77723927	128692556	1
591	17	6	5	43	172948530	12105395	18505392	30731987	1
592	1	5	3	69	948761230	189752246	113851348	303724794	1
593	16	6	7	61	815249730	163049946	97829968	261001114	1
594	10	5	4	29	296481750	20753722	31723547	52578569	1
595	2	3	7	49	651837920	84724131	73656205	158501536	1
596	16	3	7	63	329796920				0
597	1	3	4	51	144986370	14498637	15948401	30568238	1
598	7	2	3	16	635082940	63508294	69859123	133440717	1
599	11	4	2	67	521379470				0
600	4	4	6	35	593748190	41562377	63531057	105214634	1
